,gr_id,gr_name,s_id,s_name,laboring
0,1,"Информационные технологии, интернет, телеком",1.395,Банковское ПО,False
1,1,"Информационные технологии, интернет, телеком",1.400,Оптимизация сайта (SEO),False
2,1,"Информационные технологии, интернет, телеком",1.420,Администратор баз данных,False
3,1,"Информационные технологии, интернет, телеком",1.474,Стартапы,False
4,1,"Информационные технологии, интернет, телеком",1.475,Игровое ПО,False
5,1,"Информационные технологии, интернет, телеком",1.536,CRM системы,False
6,1,"Информационные технологии, интернет, телеком",1.744,Другое,False
7,1,"Информационные технологии, интернет, телеком",1.3,"CTO, CIO, Директор по IT",False
8,1,"Информационные технологии, интернет, телеком",1.9,Web инженер,False
9,1,"Информационные технологии, интернет, телеком",1.10,Web мастер,False
10,1,"Информационные технологии, интернет, телеком",1.25,Аналитик,False
11,1,"Информационные технологии, интернет, телеком",1.30,Арт-директор,False
12,1,"Информационные технологии, интернет, телеком",1.50,Системы управления предприятием (ERP),False
13,1,"Информационные технологии, интернет, телеком",1.82,Инженер,False
14,1,"Информационные технологии, интернет, телеком",1.89,Интернет,False
15,1,"Информационные технологии, интернет, телеком",1.110,Компьютерная безопасность,False
16,1,"Информационные технологии, интернет, телеком",1.113,"Консалтинг, Аутсорсинг",False
17,1,"Информационные технологии, интернет, телеком",1.116,Контент,False
18,1,"Информационные технологии, интернет, телеком",1.117,Тестирование,False
19,1,"Информационные технологии, интернет, телеком",1.137,Маркетинг,False
20,1,"Информационные технологии, интернет, телеком",1.161,Мультимедиа,False
21,1,"Информационные технологии, интернет, телеком",1.172,"Начальный уровень, Мало опыта",False
22,1,"Информационные технологии, интернет, телеком",1.203,Передача данных и доступ в интернет,False
23,1,"Информационные технологии, интернет, телеком",1.211,"Поддержка, Helpdesk",False
24,1,"Информационные технологии, интернет, телеком",1.221,"Программирование, Разработка",False
25,1,"Информационные технологии, интернет, телеком",1.225,Продажи,False
26,1,"Информационные технологии, интернет, телеком",1.232,Продюсер,False
27,1,"Информационные технологии, интернет, телеком",1.246,Развитие бизнеса,False
28,1,"Информационные технологии, интернет, телеком",1.270,Сетевые технологии,False
29,1,"Информационные технологии, интернет, телеком",1.272,Системная интеграция,False
30,1,"Информационные технологии, интернет, телеком",1.273,Системный администратор,False
31,1,"Информационные технологии, интернет, телеком",1.274,Системы автоматизированного проектирования,False
32,1,"Информационные технологии, интернет, телеком",1.277,"Сотовые, Беспроводные технологии",False
33,1,"Информационные технологии, интернет, телеком",1.295,Телекоммуникации,False
34,1,"Информационные технологии, интернет, телеком",1.296,Технический писатель,False
35,1,"Информационные технологии, интернет, телеком",1.327,Управление проектами,False
36,1,"Информационные технологии, интернет, телеком",1.359,Электронная коммерция,False
37,20,"Строительство, недвижимость",20.396,Эксплуатация,False
38,20,"Строительство, недвижимость",20.445,ЖКХ,False
39,20,"Строительство, недвижимость",20.484,Геодезия и картография,False
40,20,"Строительство, недвижимость",20.490,Рабочие строительных специальностей,True
41,20,"Строительство, недвижимость",20.525,Землеустройство,False
42,20,"Строительство, недвижимость",20.526,Оценка,False
43,20,"Строительство, недвижимость",20.527,"Отопление, вентиляция и кондиционирование",False
44,20,"Строительство, недвижимость",20.528,Водоснабжение и канализация,False
45,20,"Строительство, недвижимость",20.573,Тендеры,False
46,20,"Строительство, недвижимость",20.755,Другое,False
47,20,"Строительство, недвижимость",20.20,Агент,False
48,20,"Строительство, недвижимость",20.58,"Гостиницы, Магазины",False
49,20,"Строительство, недвижимость",20.63,Дизайн/Оформление,False
50,20,"Строительство, недвижимость",20.70,Жилье,False
51,20,"Строительство, недвижимость",20.83,Инженер,False
52,20,"Строительство, недвижимость",20.186,"Начальный уровень, Мало опыта",False
53,20,"Строительство, недвижимость",20.189,Нежилые помещения,False
54,20,"Строительство, недвижимость",20.233,"Проектирование, Архитектура",False
55,20,"Строительство, недвижимость",20.287,Строительство,False
56,20,"Строительство, недвижимость",20.325,Управление проектами,False
57,20,"Строительство, недвижимость",20.375,Девелопер,False
58,20,"Строительство, недвижимость",20.387,Прораб,False
59,17,Продажи,17.397,"Электротехническое оборудование, Светотехника",False
60,17,Продажи,17.401,Химическая продукция,False
61,17,Продажи,17.405,Сертификация,False
62,17,Продажи,17.417,Строительные материалы,False
63,17,Продажи,17.418,Сельское хозяйство,False
64,17,Продажи,17.440,"Текстиль, Одежда, Обувь",False
65,17,Продажи,17.441,Франчайзинг,False
66,17,Продажи,17.443,Мебель,False
67,17,Продажи,17.446,Системы безопасности,False
68,17,Продажи,17.486,Сантехника,False
69,17,Продажи,17.487,Бытовая техника,False
70,17,Продажи,17.520,Продавец в магазине,True
71,17,Продажи,17.535,Торговые сети,False
72,17,Продажи,17.538,"Продажи по телефону, Телемаркетинг",True
73,17,Продажи,17.572,Тендеры,False
74,17,Продажи,17.580,Клининговые услуги,False
75,17,Продажи,17.623,Финансовые услуги,False
76,17,Продажи,17.625,Решения по автоматизации процессов,False
